termo,explicacao,categoria,contexto,extras,fonte
Alembamento,"Tradição matrimonial angolana que consiste na entrega de bens materiais pelo noivo à família da noiva, como forma de reconhecimento, respeito e união entre famílias. Este ato simboliza não apenas a valorização da noiva, mas também a integração social e cultural do casal, reforçando laços comunitários.",Cultura,,{},cultura_angolana.csv
Artesanato,"O artesanato angolano inclui cestaria, esculturas em madeira, cerâmica e trabalhos em tecidos. Cada peça reflete a criatividade e o vínculo com a natureza. Muitas vezes, serve como meio de subsistência e forma de transmissão da cultura local às novas gerações.",Cultura,,{},cultura_angolana.csv
Danças,"As danças tradicionais variam de acordo com cada grupo étnico. São acompanhadas de batuques, cânticos e instrumentos de percussão. Representam momentos de celebração, rituais de passagem, colheitas e homenagens aos antepassados. Expressam identidade e unidade coletiva.",Cultura,,{},cultura_angolana.csv
Hospitalidade,"O povo angolano é conhecido pela hospitalidade e acolhimento. Receber bem um visitante é sinal de respeito e amizade, sendo comum partilhar comida, bebida e espaço. Essa prática reforça a importância da coletividade.",Cultura,,{},cultura_angolana.csv
Máscaras,"As máscaras tradicionais representam espíritos ancestrais e são usadas em rituais, cerimônias e festas. São esculpidas em madeira e pintadas, cada uma com um significado simbólico ligado à fertilidade, proteção ou comunicação com o mundo espiritual. São fundamentais para a preservação das tradições e identidade cultural.",Cultura,,{},cultura_angolana.csv
Música,"A música angolana é marcada pela diversidade de ritmos como semba, kuduro, kizomba e outros estilos modernos que convivem com tradições locais. A música é usada como forma de entretenimento, mas também como veículo de resistência cultural e expressão social.",Cultura,,{},cultura_angolana.csv
Religiosidade,"A religiosidade em Angola é diversa, unindo crenças cristãs com práticas tradicionais africanas. Há um sincretismo entre fé católica/protestante e ritos ancestrais, como a veneração de antepassados e cultos ligados à natureza. Essa combinação mostra a resiliência cultural do povo angolano.",Cultura,,{},cultura_angolana.csv
Rituais,"Os rituais marcam momentos importantes da vida como nascimento, iniciação, casamento e morte. São realizados com danças, cânticos, oferendas e participação comunitária. Têm como função manter a ligação entre o mundo espiritual e o físico, reforçando a coesão social.",Cultura,,{},cultura_angolana.csv
Sabedoria oral,"A tradição oral é um dos maiores patrimônios culturais, transmitindo histórias, provérbios, lendas e ensinamentos morais. Os mais velhos têm papel central como guardiões da memória coletiva e da identidade cultural.",Cultura,,{},cultura_angolana.csv
Tradições,"As tradições angolanas abrangem hábitos transmitidos oralmente entre gerações. Incluem práticas comunitárias, ritos de iniciação, valores de respeito aos mais velhos, solidariedade e a importância da vida em comunidade.",Cultura,,{},cultura_angolana.csv
