termo,significado,explicacao,exemplo,contextualizacao
Aldrabar,Enganar,Usado em Portugal e Angola para indicar ato de mentir ou enganar alguém.,Ele tentou aldrabar o vendedor.,"Linguagem coloquial, conotação negativa."
Alembamento,Tradição matrimonial,"Tradição matrimonial angolana onde o noivo entrega bens materiais à família da noiva, reforçando laços familiares.",Ele ofereceu o alembamento conforme a tradição.,Integração social e respeito cultural.
Amarrotar o miúdo,Brincar com a criança,Expressão usada para indicar carinho ou interação física afetuosa com criança.,A tia amarrotou o miúdo ao vê-lo.,"Familiar, contexto de afeto."
Baza,Sair,Expressão popular usada para dizer que alguém foi embora ou saiu de um local.,Ele disse 'baza' e foi embora.,Gíria urbana jovem em Angola.
Bué,Muito,Palavra angolana que significa 'muito' ou 'em grande quantidade'.,Ele tem bué de dinheiro.,Linguagem urbana jovem.
Calulú,Prato típico,"Prato tradicional angolano feito de peixe seco ou carne, vegetais e óleo de palma.",Comemos calulú ao almoço.,Símbolo da gastronomia nacional.
Candonga,Comércio ilegal,"Mercado paralelo, venda de produtos fora da legalidade ou em regime de informalidade.",Ele comprou gasolina na candonga.,Prática comum em contextos urbanos.
Cota,Pessoa mais velha,Forma de respeito para designar alguém mais velho ou de autoridade.,Vou falar com o meu cota primeiro.,Marca de respeito e hierarquia.
Funji,Prato típico,"Massa de fubá de milho ou mandioca, geralmente acompanhada de molhos e carnes.",Comi funji com calulu.,Base da alimentação angolana.
Kuduro,Música e dança,"Gênero musical e dança urbana originada em Angola, energética e popular.",Eles dançaram kuduro na festa.,Símbolo cultural moderno angolano.
Luanda,Cidade capital,"Capital de Angola, centro político, cultural e econômico do país.",Visitei Luanda no verão.,Principal destino turístico e histórico.
Ngana Zambi,Deus,Termo em línguas locais para se referir a Deus ou divindade suprema.,Eles rezaram a Ngana Zambi.,Contexto religioso e cultural angolano.
Soba,Líder comunitário,"Autoridade tradicional em comunidades angolanas, responsável por decisões locais.",O soba reuniu os moradores da aldeia.,Estrutura de liderança tradicional.
Tundavala,Fenda geológica,"Formação rochosa impressionante na província da Huíla, considerada um dos maiores pontos turísticos de Angola.",Visitamos a Fenda da Tundavala.,Patrimônio natural angolano.
termo,significado,explicacao,exemplo,contextualizacao
Alembamento,Tradição matrimonial,"Tradição matrimonial angolana onde o noivo entrega bens materiais à família da noiva, reforçando laços familiares.","Ele ofereceu o alembamento conforme a tradição.","Integração social e respeito cultural."
Aldrabar,Enganar,"Usado em Portugal e Angola para indicar ato de mentir ou enganar alguém.","Ele tentou aldrabar o vendedor.","Linguagem coloquial, conotação negativa."
Amarrotar o miúdo,Brincar com a criança,"Expressão usada para indicar carinho ou interação física afetuosa com criança.","A tia amarrotou o miúdo ao vê-lo.","Familiar, contexto de afeto."
Baza,Sair,"Expressão popular usada para dizer que alguém foi embora ou saiu de um local.","Ele disse 'baza' e foi embora.","Gíria urbana jovem em Angola."
Bué,Muito,"Palavra angolana que significa 'muito' ou 'em grande quantidade'.","Ele tem bué de dinheiro.","Linguagem urbana jovem."
Calulú,Prato típico,"Prato tradicional angolano feito de peixe seco ou carne, vegetais e óleo de palma.","Comemos calulú ao almoço.","Símbolo da gastronomia nacional."
Candonga,Comércio ilegal,"Mercado paralelo, venda de produtos fora da legalidade ou em regime de informalidade.","Ele comprou gasolina na candonga.","Prática comum em contextos urbanos."
Cota,Pessoa mais velha,"Forma de respeito para designar alguém mais velho ou de autoridade.","Vou falar com o meu cota primeiro.","Marca de respeito e hierarquia."
Funji,Prato típico,"Massa de fubá de milho ou mandioca, geralmente acompanhada de molhos e carnes.","Comi funji com calulu.","Base da alimentação angolana."
Kuduro,Música e dança,"Gênero musical e dança urbana originada em Angola, energética e popular.","Eles dançaram kuduro na festa.","Símbolo cultural moderno angolano."
Luanda,Cidade capital,"Capital de Angola, centro político, cultural e econômico do país.","Visitei Luanda no verão.","Principal destino turístico e histórico."
Mussulo,Península,"Destino turístico próximo a Luanda, conhecido por suas praias e resorts.","Passámos férias no Mussulo.","Importante ponto turístico angolano."
Ngana Zambi,Deus,"Termo em línguas locais para se referir a Deus ou divindade suprema.","Eles rezaram a Ngana Zambi.","Contexto religioso e cultural angolano."
Soba,Líder comunitário,"Autoridade tradicional em comunidades angolanas, responsável por decisões locais.","O soba reuniu os moradores da aldeia.","Estrutura de liderança tradicional."
Tundavala,Fenda geológica,"Formação rochosa impressionante na província da Huíla, considerada um dos maiores pontos turísticos de Angola.","Visitamos a Fenda da Tundavala.","Patrimônio natural angolano."
